MAIN GROUP,SUB GROUP,DEPARTMENT,DEPT SHORT CODE,DESIGNATION,SHORT_CODE,JOB_CODE
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,RELATIONSHIP MANAGER,RELATIONSH,JC0231
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,ASSISTANT BRANCH MANAGER,ASST BM,JC0997
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,BRANCH BUSINESS MANAGER,BRANCH BUS,JC0604
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,BRANCH BUSINESS OFFICER,BRANCH BUS,JC0670
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,DBM - DESIGNATE,DBM - DESI,JC0752
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,DEPUTY BRANCH MANAGER,DEPUTY BRA,JC0099
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,CSBB WEALTH MANAGEMENT,WEALTH MGT,DEPUTY BRANCH MANAGER,DEPUTY BRA,JC0099
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,GOLD LOAN EXPERT,GLE,JC1023
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,HOME LOAN EXPERT,HL EXPERT,JC0946
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,BRANCH MANAGER,BRANCH MAN,JC0037
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,SENIOR BRANCH MANAGER,SENIOR BM,JC0925
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,CSBB WEALTH MANAGEMENT,WEALTH MGT,BRANCH MANAGER,BRANCH MAN,JC0037
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,TRADE DESK MANAGER,TR_DES_MGR,JC0721
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,TRADE DESK OFFICER,TRADE DESK,JC0285
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,TRADE SERVICE MANAGER,TRADE SERV,JC0793
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,CSM - BUSINESS BANKING,CSM - BUSI,JC0764
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,CSO - BUSINESS BANKING,CSO - BUSI,JC0761
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,CSO - TELLER,CSO - TELL,JC0763
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,CUSTOMER SERVICE MANAGER,CUSTOMER S,JC0095
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,CUSTOMER SERVICE OFFICER,CUSTOMER S,JC0096
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,C-SERV BRANCH BANKING,CSBB,CUSTOMER SERVICE MANAGER,CUSTOMER S,JC0095
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,CSBB WEALTH MANAGEMENT,WEALTH MGT,CUSTOMER SERVICE MANAGER,CUSTOMER S,JC0095
RETAIL BANKING GROUP,C-SERV BRANCH BANKING,Branch Banking Dept,CSBB/EXTN,BRANCH MANAGER - WEALTH BRANCH,BRANCH MAN,JC0545
