SETID,SAL_ADMIN_PLAN,GRADE,EFFDT,EFF_STATUS,DESCR,DESCRSHORT
QAT,QAT,75,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR,ED
CAN,CAN,75,01-01-1900 00:00:00,A,JT MANAGING DIRECTOR,JMD
CAN,CAN,80,01-01-1900 00:00:00,A,MD & CEO,MDCEO
IND,IND,80,01-01-1900 00:00:00,A,OFFICER TRAINEE,OFFTR
QAT,QAT,80,01-01-1900 00:00:00,A,JT MANAGING DIRECTOR,JMD
UAE,UAE,80,01-01-1900 00:00:00,A,JT MANAGING DIRECTOR,JMD
MYS,MYS,80,01-01-1900 00:00:00,A,GROUP CHIEF OFFICER,GCO
THA,THA,80,01-01-1900 00:00:00,A,GROUP CHIEF OFFICER,GCO
ZAF,ZAF,80,01-01-1900 00:00:00,A,GROUP CHIEF OFFICER,GCO
BHR,BHR,80,01-01-1900 00:00:00,A,JT MANAGING DIRECTOR,JMD
USA,USA,80,01-01-1900 00:00:00,A,MD & CEO,MDCEO
SGP,SGP,80,01-01-1900 00:00:00,A,GROUP CHIEF OFFICER,GCO
BGD,BGD,80,01-01-1900 00:00:00,A,GROUP CHIEF OFFICER,GCO
GBR,GBR,80,01-01-1900 00:00:00,A,JT MANAGING DIRECTOR,JMD
RUS,RUS,80,01-01-1900 00:00:00,A,JT MANAGING DIRECTOR,JMD
BEL,BEL,80,01-01-2000 00:00:00,A,JT MANAGING DIRECTOR,JMD
LKA,LKA,80,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR,ED
DEU,DEU,80,01-01-1900 00:00:00,A,JT MANAGING DIRECTOR,JMD
HKG,HKG,80,01-01-1900 00:00:00,A,GROUP CHIEF OFFICER,GCO
CHN,CHN,80,01-01-1900 00:00:00,A,GROUP CHIEF OFFICER,GCO
CHN,CHN,85,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR,ED
HKG,HKG,85,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR,ED
DEU,DEU,85,01-01-1900 00:00:00,A,MD & CEO,MDCEO
LKA,LKA,85,01-01-1900 00:00:00,A,JT MANAGING DIRECTOR,JMD
BEL,BEL,85,01-01-2000 00:00:00,A,MD & CEO,MDCEO
RUS,RUS,85,01-01-1900 00:00:00,A,MD & CEO,MDCEO
GBR,GBR,85,01-01-1900 00:00:00,A,MD & CEO,MDCEO
BGD,BGD,85,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR,ED
BHR,BHR,85,01-01-1900 00:00:00,A,MD & CEO,MDCEO
ZAF,ZAF,85,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR,ED
THA,THA,85,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR,ED
MYS,MYS,85,01-01-1900 00:00:00,A,EXECUTIVE DIRECTOR,ED
UAE,UAE,85,01-01-1900 00:00:00,A,MD & CEO,MDCEO
