SETID,JOBCODE,EFFDT,EFF_STATUS,DESCR,DESCRSHORT
ICICI,JC0088,01-01-1900 00:00:00,A,CREDIT MANAGER,CREDIT MAN
ICICI,JC0089,01-01-1900 00:00:00,A,CREDIT OFFICER,CREDIT OFF
ICICI,JC0090,01-01-1900 00:00:00,A,CREDIT OPERATIONS MANAGER,CREDIT OPE
ICICI,JC0091,01-01-1900 00:00:00,A,CREDIT POLICY MANAGER,CREDIT POL
ICICI,JC0071,01-01-1900 00:00:00,A,COLLECTION MANAGER,COLLECTION
ICICI,JC0008,01-01-1900 00:00:00,A,AGENCY OFFICER,AGENCY OFF
ICICI,JC0009,01-01-1900 00:00:00,A,ALM MONITORING & REPORTING MGR,ALM MONITO
ICICI,JC0010,01-01-1900 00:00:00,A,ANALYST,ANALYST
ICICI,JC0011,01-01-1900 00:00:00,A,ANALYTICS HEAD,ANALYTICS
ICICI,JC0012,01-01-1900 00:00:00,A,AREA BUSINESS DEVELOPMENT HEAD,AREA BUSIN
ICICI,JC0013,01-01-1900 00:00:00,A,AREA BUSINESS DEVELOPMENT MGR,AREA BUSIN
ICICI,JC0014,01-01-1900 00:00:00,A,AREA BUSINESS MANAGER,AREA BUSIN
ICICI,JC0015,01-01-1900 00:00:00,A,AREA COLLECTION MANAGER,AREA COLLE
ICICI,JC0016,01-01-1900 00:00:00,A,AREA CREDIT MANAGER,AREA CREDI
ICICI,JC0017,01-01-1900 00:00:00,A,AREA HEAD,AREA HEAD
ICICI,JC0018,01-01-1900 00:00:00,A,AREA MANAGER,AREA MANAG
ICICI,JC0019,01-01-1900 00:00:00,A,AREA MARKETING MANAGER,AREA MARKE
ICICI,JC0020,01-01-1900 00:00:00,A,AREA OPERATIONS MANAGER,AREA OPERA
ICICI,JC0021,01-01-1900 00:00:00,A,AREA RISK MANAGER,AREA RISK
ICICI,JC0022,01-01-1900 00:00:00,A,AREA SALES MANAGER,AREA SALES
ICICI,JC0023,01-01-1900 00:00:00,A,AREA SOLUTION MANAGER,AREA SOLUT
ICICI,JC0024,01-01-1900 00:00:00,A,AREA SOLUTION OFFICER,AREA SOLUT
ICICI,JC0025,01-01-1900 00:00:00,A,AREA TECHNICAL MANAGER,AREA TECHN
ICICI,JC0026,01-01-1900 00:00:00,A,ASSET DESK MANAGER,ASSET DESK
ICICI,JC0027,01-01-1900 00:00:00,A,ASSET MANAGER,ASSET MANA
ICICI,JC0028,01-01-1900 00:00:00,A,ASSISTANT,ASSISTANT
ICICI,JC0029,01-01-1900 00:00:00,A,ASSISTANT COMPANY SECRETARY,ASSISTANT
ICICI,JC0030,01-01-1900 00:00:00,A,ASST ORGAN EXCELLENCE MGR,ASST ORGAN
ICICI,JC0031,01-01-1900 00:00:00,A,ASST RELATIONSHIP MANAGER,ASST RELAT
ICICI,JC0032,01-01-1900 00:00:00,A,AUDIT MANAGER,AUDIT MANA
ICICI,JC0033,01-01-1900 00:00:00,A,AUDIT SUPERVISOR,AUDIT SUPE
ICICI,JC0034,01-01-1900 00:00:00,A,AUDITOR,AUDITOR
ICICI,JC0035,01-01-1900 00:00:00,A,BRANCH COLLECTIONS MANAGER,BRANCH COL
ICICI,JC0036,01-01-1900 00:00:00,A,BRANCH CREDIT MANAGER,BRANCH CRE
ICICI,JC0037,01-01-1900 00:00:00,A,BRANCH MANAGER,BRANCH MAN
ICICI,JC0039,01-01-1900 00:00:00,A,BRANCH SALES MANAGER,BSM
ICICI,JC0040,01-01-1900 00:00:00,A,BUCKET COORDINATOR,BUCKET COO
ICICI,JC0041,01-01-1900 00:00:00,A,BUSINESS ANALYST,BUSINESS A
ICICI,JC0042,01-01-1900 00:00:00,A,BUSINESS DEVELOPMENT MANAGER,BUSINESS D
ICICI,JC0043,01-01-1900 00:00:00,A,BUSINESS DEVELOPMENT OFFICER,BDO
ICICI,JC0044,01-01-1900 00:00:00,A,BUSINESS DEVELOPMENT TEAM LEAD,BUSINESS D
ICICI,JC0045,01-01-1900 00:00:00,A,BUSINESS HEAD,BUSINESS H
ICICI,JC0046,01-01-1900 00:00:00,A,BUSINESS HR HEAD,BUSINESS H
ICICI,JC0047,01-01-1900 00:00:00,A,BUSINESS HR MANAGER,BUSINESS H
ICICI,JC0048,01-01-1900 00:00:00,A,BUSINESS MANAGER,BUSINESS M
ICICI,JC0049,01-01-1900 00:00:00,A,BUSINESS RELATIONSHIP MANAGER,BUSINESS R
ICICI,JC0050,01-01-1900 00:00:00,A,BUSINESS TECHNOLOGY LEAD,BUSINESS T
ICICI,JC0051,01-01-1900 00:00:00,A,CARD ALLIANCES MANAGER,CARD ALLIA
ICICI,JC0052,01-01-1900 00:00:00,A,CENTRE HEAD,CENTRE HEA
ICICI,JC0053,01-01-1900 00:00:00,A,CENTRE MANAGER,CENTRE MAN
ICICI,JC0054,01-01-1900 00:00:00,A,CFO & TREASURER,CFO & TREA
ICICI,JC0055,01-01-1900 00:00:00,A,CHANNEL HEAD,CHANNEL HE
ICICI,JC0056,01-01-1900 00:00:00,A,CHANNEL MANAGER,CHANNEL MA
ICICI,JC0057,01-01-1900 00:00:00,A,CHIEF INFO SECURITY OFFICER,CHIEF INFO
ICICI,JC0058,01-01-1900 00:00:00,A,CHIEF ORGN EXCELLENCE MANAGER,CHIEF ORGN
ICICI,JC0060,01-01-1900 00:00:00,A,CITY MANAGER,CITY MANAG
ICICI,JC0061,01-01-1900 00:00:00,A,CLEARING INCHARGE,CLEARING I
ICICI,JC0062,01-01-1900 00:00:00,A,CLEARING MANAGER,CLEARING M
ICICI,JC0063,01-01-1900 00:00:00,A,CLERK,CLERK
ICICI,JC0064,01-01-1900 00:00:00,A,CLUSTER BRANCH MANAGER,CLUSTER BR
ICICI,JC0065,01-01-1900 00:00:00,A,CLUSTER COORDINATOR,CLUSTER CO
ICICI,JC0066,01-01-1900 00:00:00,A,CLUSTER CREDIT MANAGER,CLUSTER CR
ICICI,JC0067,01-01-1900 00:00:00,A,CLUSTER HEAD,CLUSTER HE
ICICI,JC0068,01-01-1900 00:00:00,A,CLUSTER HEAD BRANCH BANKING,CLUSTER HE
ICICI,JC0069,01-01-1900 00:00:00,A,CLUSTER MANAGER,CLUSTER MA
ICICI,JC0070,01-01-1900 00:00:00,A,CMS - CUSTODIAN,CMS - CUST
ICICI,JC0092,01-01-1900 00:00:00,A,CROSS SELL MANAGER,CROSS SELL
ICICI,JC0093,01-01-1900 00:00:00,A,CUSTOMER ACCOUNT MANAGER,CUSTOMER A
ICICI,JC0325,01-01-1900 00:00:00,A,ASSISTANT MANAGER,ASSISTANT
ICICI,JC0326,01-01-1900 00:00:00,A,ASST MGR CONSTRUCTION FINANCE,ASST MGR C
ICICI,JC0327,01-01-1900 00:00:00,A,ASSISTANT PRODUCT MANAGER,ASSISTANT
ICICI,JC0328,01-01-1900 00:00:00,A,ASSOCIATE-CBG,ASSOCIATE-
ICICI,JC0329,01-01-1900 00:00:00,A,ASSOCIATE-RELATIONSHIP TEAM,ASSOCIATE-
ICICI,JC0330,01-01-1900 00:00:00,A,ASSOCIATE-TB,ASSOCIATE-
