SETID,LOCATION,EFFDT,EFF_STATUS,DESCR
IND,1052,01-01-1900 00:00:00,A,TANDA - GURUDWARA CHOWK_BR
IND,1054,01-01-1900 00:00:00,A,LAKHIM KHERI -THARBARANGANJ_BR
IND,1056,01-01-1900 00:00:00,A,KOL - SALT LAKE  SECTOR 5_BR
IND,6004,01-01-1900 00:00:00,A,MADURAI - SOUTH MASI STREET_BR
IND,6006,01-01-1900 00:00:00,A,MADURAI - TALLAKULAM_BR
IND,6009,01-01-1900 00:00:00,A,MADURAI  - TIRUPARANKUNDRAM_BR
IND,6011,01-01-1900 00:00:00,A,MADURAI - MUNICHILAI_BR
IND,6487,01-01-1900 00:00:00,A,KENJAL - JAGTAP BUILDING_BR
IND,6488,01-01-1900 00:00:00,A,PUNE - CAMP - MG ROAD_BR
IND,6489,01-01-1900 00:00:00,A,JAWALA - MAIN ROAD_BR
IND,6490,01-01-1900 00:00:00,A,MALTHAN - MAIN ROAD_BR
IND,6496,01-01-1900 00:00:00,A,AKLUJ - NEW S. T. BUS STAND_BR
IND,753,01-01-1900 00:00:00,A,NEYYATTINKARA -ASIF COMPLEX_BR
IND,754,01-01-1900 00:00:00,A,CHALAKUDY - PULLAN BUILDING_BR
IND,755,01-01-1900 00:00:00,A,GURUVAYUR - WEST NADA_BR
IND,756,01-01-1900 00:00:00,A,KUNNAMKULAM - YESUDAS ROAD_BR
IND,759,01-01-1900 00:00:00,A,DEWAS - A B ROAD_BR
IND,760,01-01-1900 00:00:00,A,GUNA -  A B ROAD_BR
IND,761,01-01-1900 00:00:00,A,HARDA - INDORE ROAD_BR
IND,763,01-01-1900 00:00:00,A,KATNI - JABALPUR ROAD_BR
IND,765,01-01-1900 00:00:00,A,NEEMUCH - VIJAY TALKIES_BR
IND,766,01-01-1900 00:00:00,A,RAJGARH - SHIKSHAK COLONY_BR
IND,767,01-01-1900 00:00:00,A,SHAJAPUR - A B ROAD_BR
IND,769,01-01-1900 00:00:00,A,NANDURBAR
IND,770,01-01-1900 00:00:00,A,SHAHADE
IND,771,01-01-1900 00:00:00,A,SAWANTWADI - ST STAND_BR
IND,773,01-01-1900 00:00:00,A,TALCHER - SHARMA CHOWK_BR
IND,775,01-01-1900 00:00:00,A,DHENKENAL - MAHAVIR BAZAR_BR
IND,776,01-01-1900 00:00:00,A,PARADIP - BADAPADIA_BR
IND,779,01-01-1900 00:00:00,A,JODA - MAIN ROAD_BR
IND,780,01-01-1900 00:00:00,A,NAYAGARH - MAIN ROAD_BR
IND,781,01-01-1900 00:00:00,A,RAYAGADA - NEW COLONY_BR
IND,784,01-01-1900 00:00:00,A,KOTKAPURA - FARIDKOT ROAD_BR
IND,785,01-01-1900 00:00:00,A,FAZILKA - BANK ROAD_BR
IND,788,01-01-1900 00:00:00,A,MUKTSAR - KOTKAPURA ROAD_BR
