Sol Id,Mega Zone ,Zone,Region
868,RIB,Maharashtra North - RIB,Amravati RIB Region
869,RIB,Maharashtra North - RIB,Khamgaon RIB Region
866,South,Kerala South,Technopark Region
1052,North 1,UPUK 2,Faizabad Region
1054,North 1,UPUK 1,Sitapur Region
1056,East 1,Kolkata 1,Kolkata Salt Lake 2 Region
6004,South,Rest of Tamil Nadu 2,Madurai Region
6006,South,Rest of Tamil Nadu 2,Madurai Region
6009,South,Rest of Tamil Nadu 2,Madurai Region
6011,South,Rest of Tamil Nadu 2,Madurai Region
6488,West 1,Pune 2,Bund Garden Region
6489,RIB,Maharashtra North - RIB,Ahmednagar RIB Region
6490,RIB,Maharashtra North - RIB,Pune RIB Region
6496,RIB,Maharashtra South - RIB,Satara-1 RIB Region
6497,West 1,"Goa, South Maharashtra and North Karnataka",North Karnataka Region
753,South,Kerala South,Trivandrum Region
754,South,Kerala North,Trissur Region
755,South,Kerala North,Trissur Region
756,South,Kerala North,Trissur Region
757,South,Kerala North,Calicut Region
759,West 2,Madhya Pradesh,Ujjain Region
760,RIB,Madhya Pradesh - RIB,Guna RIB Region
761,RIB,Madhya Pradesh - RIB,Hoshangabad RIB Region
763,West 2,Madhya Pradesh,Jabalpur Region
765,West 2,Madhya Pradesh,Ujjain Region
766,RIB,Madhya Pradesh - RIB,Guna RIB Region
767,RIB,Madhya Pradesh - RIB,Ujjain RIB Region
769,RIB,Maharashtra North - RIB,Jalgaon RIB Region
770,RIB,Maharashtra North - RIB,Jalgaon RIB Region
771,RIB,Maharashtra South - RIB,Kolhapur-2 RIB Region
772,East 1,North East & North Bengal,Guwahati 1 Region
773,East 2,Odisha,Angul Region
775,East 2,Odisha,Cuttack Region
776,East 2,Odisha,Jajpur Region
779,East 2,Odisha,Angul Region
780,East 2,Odisha,Behrampur Region
781,East 2,Odisha,Jeypore Region
784,RIB,Punjab - RIB,Faridkot RIB Region
785,RIB,Punjab - RIB,Ferozepur RIB Region
788,RIB,Punjab - RIB,Muktsar RIB Region
789,RIB,Punjab - RIB,Sirhind RIB Region
791,RIB,Punjab - RIB,Zirakpur RIB Region
793,RIB,Rajasthan West - RIB,Banswara RIB Region
794,RIB,Rajasthan West - RIB,Nagaur RIB Region
797,West 2,Rajasthan,Bikaner Region
798,RIB,Rajasthan West - RIB,Barmer RIB Region
799,West 2,Rajasthan,Alwar Region
800,West 2,Rajasthan,Bhilwara Region
801,RIB,Rajasthan West - RIB,Jodhpur-2 RIB Region
802,RIB,Tamil Nadu North - RIB,Dharmapuri RIB Region
803,South,Rest of Tamil Nadu 1,Tiruppur Region
805,South,Rest of Tamil Nadu 1,Salem Region
806,RIB,Tamil Nadu North - RIB,Trichy RIB Region
807,RIB,Tamil Nadu North - RIB,Vellore RIB Region
810,North 1,NCR 6,Aligarh Region
811,North 1,UPUK 1,Etawah Region
814,North 1,UPUK 1,Jhansi Region
816,North 1,NCR 3,Noida-Sector61 Region
817,North 1,UPUK 2,Faizabad Region
819,North 1,UPUK 2,Faizabad Region
820,North 1,UPUK 2,Varanasi Region
822,North 1,UPUK 1,Etawah Region
823,East 1,Rest of West Bengal,Hooghly & Birbhum Region
824,East 1,Kolkata 1,Kolkata North 3 Region
827,North 1,NCR 4,NewDelhi-Rohini Region
828,North 1,NCR 4,NewDelhi-Rohini Region
829,North 1,NCR 6,Delhi-Preetvihar Region
832,North 1,UPUK 1,Kanpur Region
834,East 1,Rest of West Bengal,"Medinipur, Bankura & Purulia Region"
836,RIB,Telangana - RIB,Telangana West RIB Region
838,East 1,North East & North Bengal,Guwahati 3 Region
839,East 1,North East & North Bengal,Upper Assam Region
841,East 2,Chhattisgarh,Raipur 1 Region
843,North 1,NCR 4,New Delhi - Dwarka Region
844,West 2,Gujarat 1,Ahmedabad 5 Region
845,West 2,Gujarat 1,Ahmedabad 4 Region
846,RIB,Gujarat South - RIB,Borsad RIB Region
847,RIB,Gujarat South - RIB,Borsad RIB Region
848,West 2,Gujarat 1,Rajkot 2 Region
849,RIB,Gujarat North - RIB,Ahmedabad RIB Region
850,West 2,Gujarat 2,Surat 3 Region
851,West 2,Gujarat 2,Surat 1 Region
853,West 2,Gujarat 2,Vadodara 3 Region
855,West 2,Gujarat 2,Vadodara 1 Region
857,North 1,NCR 2,Faridabad Region
859,RIB,Haryana - RIB,Fatehabad RIB Region
861,RIB,Haryana - RIB,Kaithal RIB Region
862,RIB,Punjab - RIB,Zirakpur RIB Region
865,RIB,Karnataka South - RIB,Gangavaty RIB Region
866,South,Kerala South,Technopark Region
868,RIB,Maharashtra North - RIB,Amravati RIB Region
869,RIB,Maharashtra North - RIB,Khamgaon RIB Region
871,RIB,Maharashtra North - RIB,Jalgaon RIB Region
872,RIB,Maharashtra South - RIB,Kolhapur-2 RIB Region
875,East 2,Odisha,Bhubaneshwar 1 Region
876,East 2,Odisha,Rourkela Region
878,RIB,Punjab - RIB,Kapurthala RIB Region
879,RIB,Punjab - RIB,Jagraon RIB Region
880,North 2,Rest of North 2,Ludhiana Region
881,RIB,Rajasthan East - RIB,Dausa RIB Region
883,West 2,Rajasthan,Udaipur Region
885,North 1,NCR 6,Ghaziabad Region
887,RIB,Tamil Nadu North - RIB,Cuddalore RIB Region
890,North 1,UPUK 2,Faizabad Region
6362,RIB,Maharashtra South - RIB,Sangli-2 RIB Region
6363,RIB,Maharashtra South - RIB,Sangli-2 RIB Region
6364,RIB,Maharashtra South - RIB,Kolhapur-1 RIB Region
6365,RIB,Maharashtra South - RIB,Kolhapur-1 RIB Region
6366,RIB,Maharashtra South - RIB,Kolhapur-1 RIB Region
6367,RIB,Maharashtra South - RIB,Kolhapur-2 RIB Region
6368,RIB,Maharashtra South - RIB,Sangli-1 RIB Region
6372,RIB,Maharashtra South - RIB,Kolhapur-1 RIB Region
6374,RIB,Maharashtra South - RIB,Sangli-1 RIB Region
6375,RIB,Maharashtra South - RIB,Sangli-1 RIB Region
6376,RIB,Maharashtra South - RIB,Kolhapur-1 RIB Region
6378,RIB,Maharashtra South - RIB,Sangli-2 RIB Region
6379,RIB,Maharashtra South - RIB,Sangli-1 RIB Region
6380,RIB,Maharashtra South - RIB,Sangli-1 RIB Region
6383,RIB,Maharashtra South - RIB,Satara-2 RIB Region
6386,RIB,Maharashtra South - RIB,Sangli-2 RIB Region
6390,West 1,"Goa, South Maharashtra and North Karnataka",Kolhapur Region
6392,RIB,Maharashtra South - RIB,Kolhapur-1 RIB Region
6393,RIB,Maharashtra South - RIB,Sangli-2 RIB Region
6394,RIB,Maharashtra South - RIB,Sangli-1 RIB Region
6396,RIB,Maharashtra South - RIB,Satara-2 RIB Region
6397,RIB,Maharashtra South - RIB,Sangli-2 RIB Region
6398,RIB,Maharashtra South - RIB,Kolhapur-1 RIB Region
6400,RIB,Maharashtra South - RIB,Kolhapur-2 RIB Region
6402,RIB,Maharashtra South - RIB,Kolhapur-2 RIB Region
6411,West 1,Mumbai 1,Mumbai-Mahalaxmi Region
6412,West 1,Mumbai 1,Mumbai-Prabhadevi Region
6415,West 1,Mumbai 2,Mumbai-Juhu Region
6419,West 1,Mumbai 3,Mumbai-Kandivali Region
6421,RIB,Maharashtra South - RIB,Ratnagiri RIB Region
6422,RIB,Maharashtra South - RIB,Ratnagiri RIB Region
6424,RIB,Maharashtra South - RIB,Ratnagiri RIB Region
6426,West 1,Mumbai 5,Mumbai-Fort Region
6428,West 1,West Maharashtra,Nashik Sharanpur Road Region
6432,RIB,Maharashtra South - RIB,Ratnagiri RIB Region
6433,RIB,Maharashtra South - RIB,Ratnagiri RIB Region
6441,RIB,Maharashtra South - RIB,Ratnagiri RIB Region
6446,RIB,Maharashtra South - RIB,Pandharpur RIB Region
6450,West 1,Pune 2,Shivaji Nagar Region
6452,RIB,Maharashtra South - RIB,Satara-1 RIB Region
6455,West 1,Pune 1,Chinchwad Region
6458,West 1,West Maharashtra,Aurangabad Region
6459,RIB,Maharashtra South - RIB,Satara-2 RIB Region
6461,West 1,Pune 1,Kothrud Region
6462,RIB,Maharashtra South - RIB,Satara-1 RIB Region
6463,West 1,West Maharashtra,Nashik Sharanpur Road Region
6464,West 1,North Maharashtra,Amravati Region
6466,RIB,Maharashtra North - RIB,Pune RIB Region
6469,RIB,Maharashtra North - RIB,Hingoli RIB Region
6471,RIB,Maharashtra South - RIB,Pandharpur RIB Region
6473,RIB,Maharashtra South - RIB,Pandharpur RIB Region
6476,RIB,Maharashtra South - RIB,Satara-1 RIB Region
6481,RIB,Maharashtra South - RIB,Pandharpur RIB Region
